symbol,putCall,description,exchangeName,bid,ask,last,mark,bidSize,askSize,bidAskSize,lastSize,highPrice,lowPrice,openPrice,closePrice,totalVolume,tradeDate,tradeTimeInLong,quoteTimeInLong,netChange,volatility,delta,gamma,theta,vega,rho,openInterest,timeValue,theoreticalOptionValue,theoreticalVolatility,optionDeliverablesList,strikePrice,expirationDate,daysToExpiration,expirationType,lastTradingDay,multiplier,settlementType,deliverableNote,isIndexOption,percentChange,markChange,markPercentChange,inTheMoney,mini,nonStandard
SPY_080520C317,CALL,SPY Aug 5 2020 317 Call (Weekly),OPR,6.65,6.71,6.62,6.68,50,60,50X60,0,8.18,6.49,0.0,8.24,96,,1595966364770,1595967299847,-1.62,21.021,0.664,0.035,-0.206,0.184,0.047,455,2.45,6.68,29.0,,317.0,1596657600000,8,S,1596672000000,100.0, ,,,-19.65,-1.56,-18.93,True,False,False
SPY_080520C318,CALL,SPY Aug 5 2020 318 Call (Weekly),OPR,5.93,5.98,6.38,5.96,3,50,3X50,0,7.4,6.38,0.0,7.46,102,,1595964579167,1595967299890,-1.08,20.546,0.631,0.037,-0.208,0.19,0.045,384,3.21,5.955,29.0,,318.0,1596657600000,8,S,1596672000000,100.0, ,,,-14.47,-1.5,-20.17,True,False,False
SPY_080520C319,CALL,SPY Aug 5 2020 319 Call (Weekly),OPR,5.24,5.29,5.21,5.27,43,60,43X60,0,6.63,5.16,0.0,6.7,70,,1595966959833,1595967299849,-1.49,20.088,0.596,0.038,-0.21,0.195,0.043,776,3.04,5.265,29.0,,319.0,1596657600000,8,S,1596672000000,100.0, ,,,-22.29,-1.44,-21.46,True,False,False
SPY_080520C320,CALL,SPY Aug 5 2020 320 Call (Weekly),OPR,4.58,4.63,4.5,4.61,221,50,221X50,0,5.56,4.5,0.0,5.98,171,,1595966281929,1595967299947,-1.48,19.605,0.558,0.04,-0.209,0.199,0.041,776,3.33,4.605,29.0,,320.0,1596657600000,8,S,1596672000000,100.0, ,,,-24.73,-1.37,-22.98,True,False,False
SPY_080520C321,CALL,SPY Aug 5 2020 321 Call (Weekly),OPR,3.97,4.02,4.1,4.0,91,135,91X135,0,5.04,3.86,0.0,5.28,172,,1595967206168,1595967299947,-1.18,19.185,0.517,0.041,-0.207,0.201,0.038,603,3.93,3.995,29.0,,321.0,1596657600000,8,S,1596672000000,100.0, ,,,-22.4,-1.29,-24.39,True,False,False
SPY_080520C322,CALL,SPY Aug 5 2020 322 Call (Weekly),OPR,3.39,3.44,3.4,3.42,159,116,159X116,0,4.52,3.29,0.0,4.63,2817,,1595967284187,1595967299890,-1.23,18.711,0.475,0.042,-0.202,0.201,0.036,2269,3.4,3.415,29.0,,322.0,1596657600000,8,S,1596672000000,100.0, ,,,-26.54,-1.21,-26.21,False,False,False
SPY_080520C323,CALL,SPY Aug 5 2020 323 Call (Weekly),OPR,2.86,2.91,2.93,2.89,159,257,159X257,0,3.96,2.78,0.0,4.01,1706,,1595967098787,1595967299968,-1.08,18.271,0.431,0.043,-0.195,0.198,0.033,983,2.93,2.885,29.0,,323.0,1596657600000,8,S,1596672000000,100.0, ,,,-26.89,-1.12,-28.02,False,False,False
SPY_080520C324,CALL,SPY Aug 5 2020 324 Call (Weekly),OPR,2.38,2.42,2.47,2.4,155,241,155X241,0,3.31,2.32,0.0,3.43,1406,,1595967239926,1595967299964,-0.96,17.829,0.387,0.043,-0.186,0.193,0.029,831,2.47,2.4,29.0,,324.0,1596657600000,8,S,1596672000000,100.0, ,,,-27.99,-1.03,-30.03,False,False,False
SPY_080520C325,CALL,SPY Aug 5 2020 325 Call (Weekly),OPR,1.95,1.99,1.9,1.97,149,320,149X320,0,2.79,1.9,0.0,2.9,834,,1595966538060,1595967299958,-1.0,17.426,0.341,0.042,-0.174,0.185,0.026,1019,1.9,1.97,29.0,,325.0,1596657600000,8,S,1596672000000,100.0, ,,,-34.48,-0.93,-32.07,False,False,False
SPY_080520C326,CALL,SPY Aug 5 2020 326 Call (Weekly),OPR,1.57,1.61,1.59,1.59,665,368,665X368,0,2.34,1.51,0.0,2.41,1984,,1595966386834,1595967299964,-0.82,17.035,0.297,0.04,-0.161,0.175,0.023,1280,1.59,1.59,29.0,,326.0,1596657600000,8,S,1596672000000,100.0, ,,,-34.16,-0.82,-34.16,False,False,False
SPY_080720C317,CALL,SPY Aug 7 2020 317 Call (Weekly),OPR,7.28,7.33,7.26,7.31,34,60,34X60,0,8.73,7.09,0.0,8.8,239,,1595966465465,1595967299848,-1.54,22.14,0.643,0.03,-0.2,0.208,0.056,1819,3.09,7.305,29.0,,317.0,1596830400000,10,S,1596844800000,100.0, ,,,-17.46,-1.49,-16.95,True,False,False
SPY_080720C318,CALL,SPY Aug 7 2020 318 Call (Weekly),OPR,6.56,6.61,6.39,6.59,34,50,34X50,0,7.83,6.39,0.0,8.03,115,,1595966319163,1595967299898,-1.64,21.64,0.614,0.032,-0.201,0.213,0.054,1205,3.22,6.585,29.0,,318.0,1596830400000,10,S,1596844800000,100.0, ,,,-20.38,-1.44,-17.95,True,False,False
SPY_080720C319,CALL,SPY Aug 7 2020 319 Call (Weekly),OPR,5.88,5.93,5.87,5.9,44,60,44X60,0,7.11,5.7,0.0,7.28,187,,1595966388879,1595967299865,-1.41,21.198,0.583,0.033,-0.201,0.218,0.052,835,3.7,5.905,29.0,,319.0,1596830400000,10,S,1596844800000,100.0, ,,,-19.37,-1.38,-18.89,True,False,False
SPY_080720C320,CALL,SPY Aug 7 2020 320 Call (Weekly),OPR,5.22,5.27,5.24,5.24,191,60,191X60,0,6.5,5.09,0.0,6.57,863,,1595967030775,1595967299948,-1.33,20.709,0.55,0.034,-0.2,0.221,0.049,1608,4.07,5.245,29.0,,320.0,1596830400000,10,S,1596844800000,100.0, ,,,-20.19,-1.32,-20.11,True,False,False
SPY_080720C321,CALL,SPY Aug 7 2020 321 Call (Weekly),OPR,4.6,4.65,4.68,4.63,192,60,192X60,0,5.87,4.48,0.0,5.88,1555,,1595967192502,1595967299931,-1.2,20.255,0.516,0.035,-0.197,0.222,0.047,2397,4.51,4.625,29.0,,321.0,1596830400000,10,S,1596844800000,100.0, ,,,-20.41,-1.26,-21.35,True,False,False
SPY_080720C322,CALL,SPY Aug 7 2020 322 Call (Weekly),OPR,4.02,4.07,4.14,4.05,126,250,126X250,0,5.19,3.9,0.0,5.22,1410,,1595967228437,1595967299948,-1.08,19.824,0.48,0.036,-0.193,0.222,0.044,1389,4.14,4.045,29.0,,322.0,1596830400000,10,S,1596844800000,100.0, ,,,-20.69,-1.18,-22.51,False,False,False
SPY_080720C323,CALL,SPY Aug 7 2020 323 Call (Weekly),OPR,3.47,3.51,3.57,3.49,223,50,223X50,0,4.58,3.37,0.0,4.6,3279,,1595967256501,1595967299960,-1.03,19.339,0.442,0.037,-0.187,0.22,0.041,2149,3.57,3.49,29.0,,323.0,1596830400000,10,S,1596844800000,100.0, ,,,-22.39,-1.11,-24.13,False,False,False
SPY_080720C324,CALL,SPY Aug 7 2020 324 Call (Weekly),OPR,2.97,3.01,2.98,2.99,116,106,116X106,0,3.93,2.9,0.0,4.01,801,,1595966888499,1595967299846,-1.03,18.927,0.404,0.037,-0.18,0.216,0.037,1343,2.98,2.99,29.0,,324.0,1596830400000,10,S,1596844800000,100.0, ,,,-25.69,-1.02,-25.44,False,False,False
SPY_080720C325,CALL,SPY Aug 7 2020 325 Call (Weekly),OPR,2.51,2.54,2.53,2.53,71,165,71X165,0,3.42,2.43,0.0,3.47,5691,,1595967091890,1595967299964,-0.94,18.49,0.364,0.036,-0.171,0.209,0.034,5530,2.53,2.525,29.0,,325.0,1596830400000,10,S,1596844800000,100.0, ,,,-27.09,-0.95,-27.23,False,False,False
SPY_080720C326,CALL,SPY Aug 7 2020 326 Call (Weekly),OPR,2.09,2.12,2.14,2.11,154,134,154X134,0,2.91,2.01,0.0,2.97,1003,,1595966382786,1595967299958,-0.83,18.068,0.325,0.036,-0.16,0.201,0.03,2932,2.14,2.105,29.0,,326.0,1596830400000,10,S,1596844800000,100.0, ,,,-27.95,-0.87,-29.12,False,False,False
SPY_081020C317,CALL,SPY Aug 10 2020 317 Call (Weekly),OPR,7.61,7.67,7.53,7.64,50,60,50X60,0,8.92,7.53,0.0,9.12,48,,1595966106713,1595967299848,-1.59,21.159,0.633,0.028,-0.17,0.237,0.07,635,3.36,7.64,29.0,,317.0,1597089600000,13,S,1597104000000,100.0, ,,,-17.39,-1.48,-16.18,True,False,False
SPY_081020C318,CALL,SPY Aug 10 2020 318 Call (Weekly),OPR,6.91,6.96,8.31,6.94,50,50,50X50,0,8.31,7.73,0.0,8.36,17,,1595959831211,1595967299835,-0.05,20.738,0.606,0.03,-0.171,0.242,0.067,454,5.14,6.935,29.0,,318.0,1597089600000,13,S,1597104000000,100.0, ,,,-0.54,-1.42,-17.0,True,False,False
SPY_081020C319,CALL,SPY Aug 10 2020 319 Call (Weekly),OPR,6.23,6.28,6.16,6.26,111,60,111X60,0,7.44,6.16,0.0,7.62,7,,1595966273548,1595967299849,-1.46,20.313,0.577,0.031,-0.171,0.246,0.065,258,3.99,6.255,29.0,,319.0,1597089600000,13,S,1597104000000,100.0, ,,,-19.11,-1.36,-17.86,True,False,False
SPY_081020C320,CALL,SPY Aug 10 2020 320 Call (Weekly),OPR,5.58,5.62,5.6,5.6,104,50,104X50,0,6.78,5.5,0.0,6.91,201,,1595967161656,1595967299846,-1.31,19.875,0.546,0.032,-0.169,0.249,0.062,1031,4.43,5.6,29.0,,320.0,1597089600000,13,S,1597104000000,100.0, ,,,-18.9,-1.31,-18.9,True,False,False
SPY_081020C321,CALL,SPY Aug 10 2020 321 Call (Weekly),OPR,4.96,5.0,5.07,4.98,76,50,76X50,0,6.18,4.86,0.0,6.22,101,,1595966380237,1595967299948,-1.15,19.457,0.514,0.033,-0.167,0.251,0.059,527,4.9,4.98,29.0,,321.0,1597089600000,13,S,1597104000000,100.0, ,,,-18.49,-1.24,-19.94,True,False,False
SPY_081020C322,CALL,SPY Aug 10 2020 322 Call (Weekly),OPR,4.37,4.41,4.38,4.39,84,50,84X50,0,5.5,4.26,0.0,5.57,231,,1595966386940,1595967299948,-1.19,19.031,0.481,0.033,-0.163,0.251,0.056,748,4.38,4.39,29.0,,322.0,1597089600000,13,S,1597104000000,100.0, ,,,-21.3,-1.18,-21.12,False,False,False
SPY_081020C323,CALL,SPY Aug 10 2020 323 Call (Weekly),OPR,3.82,3.86,3.78,3.84,45,63,45X63,0,4.86,3.78,0.0,4.94,1003,,1595966186728,1595967299948,-1.16,18.628,0.446,0.034,-0.159,0.249,0.052,501,3.78,3.84,29.0,,323.0,1597089600000,13,S,1597104000000,100.0, ,,,-23.48,-1.1,-22.27,False,False,False
SPY_081020C324,CALL,SPY Aug 10 2020 324 Call (Weekly),OPR,3.3,3.34,3.25,3.32,124,271,124X271,0,4.3,3.25,0.0,4.35,215,,1595966214101,1595967299968,-1.1,18.202,0.411,0.034,-0.153,0.245,0.048,476,3.25,3.32,29.0,,324.0,1597089600000,13,S,1597104000000,100.0, ,,,-25.29,-1.03,-23.68,False,False,False
SPY_081020C325,CALL,SPY Aug 10 2020 325 Call (Weekly),OPR,2.82,2.86,2.85,2.84,195,252,195X252,0,3.72,2.76,0.0,3.8,563,,1595967041111,1595967299964,-0.95,17.785,0.374,0.034,-0.146,0.238,0.044,1296,2.85,2.84,29.0,,325.0,1597089600000,13,S,1597104000000,100.0, ,,,-25.0,-0.96,-25.26,False,False,False
SPY_081020C326,CALL,SPY Aug 10 2020 326 Call (Weekly),OPR,2.39,2.42,2.43,2.41,129,197,129X197,0,3.19,2.35,0.0,3.29,239,,1595966385517,1595967299964,-0.86,17.394,0.338,0.033,-0.138,0.23,0.04,720,2.43,2.405,29.0,,326.0,1597089600000,13,S,1597104000000,100.0, ,,,-26.03,-0.88,-26.79,False,False,False
SPY_081220C317,CALL,SPY Aug 12 2020 317 Call (Weekly),OPR,8.11,8.16,9.16,8.14,31,50,31X50,0,9.45,9.12,0.0,9.57,12,,1595962799124,1595967299865,-0.41,21.807,0.622,0.026,-0.165,0.255,0.078,166,4.99,8.135,29.0,,317.0,1597262400000,15,S,1597276800000,100.0, ,,,-4.29,-1.44,-15.0,True,False,False
SPY_081220C318,CALL,SPY Aug 12 2020 318 Call (Weekly),OPR,7.4,7.46,8.06,7.43,90,60,90X60,0,8.71,8.06,0.0,8.82,53,,1595964374688,1595967299849,-0.76,21.372,0.597,0.027,-0.165,0.26,0.076,177,4.89,7.43,29.0,,318.0,1597262400000,15,S,1597276800000,100.0, ,,,-8.62,-1.39,-15.76,True,False,False
SPY_081220C319,CALL,SPY Aug 12 2020 319 Call (Weekly),OPR,6.73,6.78,7.44,6.76,84,60,84X60,0,7.94,7.44,0.0,8.09,16,,1595953234179,1595967299849,-0.65,20.959,0.571,0.028,-0.165,0.264,0.073,453,5.27,6.755,29.0,,319.0,1597262400000,15,S,1597276800000,100.0, ,,,-8.04,-1.34,-16.51,True,False,False
SPY_081220C320,CALL,SPY Aug 12 2020 320 Call (Weekly),OPR,6.08,6.12,5.97,6.1,98,50,98X50,0,7.27,5.97,0.0,7.38,79,,1595966585108,1595967299846,-1.41,20.526,0.543,0.029,-0.163,0.267,0.07,1701,4.8,6.1,29.0,,320.0,1597262400000,15,S,1597276800000,100.0, ,,,-19.11,-1.28,-17.35,True,False,False
SPY_081220C321,CALL,SPY Aug 12 2020 321 Call (Weekly),OPR,5.45,5.5,5.3,5.48,108,60,108X60,0,6.6,5.3,0.0,6.7,158,,1595966316342,1595967299931,-1.4,20.102,0.514,0.03,-0.161,0.268,0.067,2007,5.13,5.475,29.0,,321.0,1597262400000,15,S,1597276800000,100.0, ,,,-20.9,-1.23,-18.29,True,False,False
SPY_081220C322,CALL,SPY Aug 12 2020 322 Call (Weekly),OPR,4.86,4.9,4.92,4.88,109,60,109X60,0,5.8,4.77,0.0,6.05,63,,1595966373289,1595967299844,-1.13,19.682,0.483,0.03,-0.158,0.268,0.064,234,4.92,4.88,29.0,,322.0,1597262400000,15,S,1597276800000,100.0, ,,,-18.61,-1.17,-19.27,False,False,False
SPY_081220C323,CALL,SPY Aug 12 2020 323 Call (Weekly),OPR,4.29,4.34,4.35,4.31,190,60,190X60,0,5.32,4.2,0.0,5.42,335,,1595966382347,1595967299851,-1.07,19.259,0.452,0.031,-0.154,0.266,0.06,349,4.35,4.315,29.0,,323.0,1597262400000,15,S,1597276800000,100.0, ,,,-19.67,-1.1,-20.32,False,False,False
SPY_081220C324,CALL,SPY Aug 12 2020 324 Call (Weekly),OPR,3.76,3.8,3.8,3.78,195,193,195X193,0,4.64,3.68,0.0,4.82,60,,1595967098787,1595967299964,-1.02,18.827,0.42,0.031,-0.149,0.263,0.056,517,3.8,3.78,29.0,,324.0,1597262400000,15,S,1597276800000,100.0, ,,,-21.16,-1.04,-21.58,False,False,False
SPY_081220C325,CALL,SPY Aug 12 2020 325 Call (Weekly),OPR,3.27,3.31,3.26,3.29,163,237,163X237,0,4.15,3.21,0.0,4.26,897,,1595966976773,1595967299964,-1.0,18.436,0.387,0.031,-0.143,0.257,0.052,404,3.26,3.29,29.0,,325.0,1597262400000,15,S,1597276800000,100.0, ,,,-23.47,-0.97,-22.77,False,False,False
SPY_081220C326,CALL,SPY Aug 12 2020 326 Call (Weekly),OPR,2.82,2.85,2.76,2.84,60,194,60X194,0,3.58,2.76,0.0,3.73,34,,1595966585108,1595967299964,-0.97,18.045,0.353,0.031,-0.136,0.25,0.048,296,2.76,2.835,29.0,,326.0,1597262400000,15,S,1597276800000,100.0, ,,,-26.01,-0.9,-23.99,False,False,False
SPY_081420C317,CALL,SPY Aug 14 2020 317 Call (Weekly),OPR,8.57,8.61,8.68,8.59,30,60,30X60,0,9.8,8.58,0.0,10.0,96,,1595967200966,1595967299931,-1.32,22.296,0.614,0.024,-0.16,0.273,0.087,499,4.51,8.59,29.0,,317.0,1597435200000,17,S,1597449600000,100.0, ,,,-13.16,-1.41,-14.06,True,False,False
SPY_081420C318,CALL,SPY Aug 14 2020 318 Call (Weekly),OPR,7.87,7.91,8.07,7.89,40,60,40X60,0,9.15,8.07,0.0,9.25,149,,1595965374829,1595967299931,-1.18,21.873,0.59,0.025,-0.16,0.277,0.084,378,4.9,7.89,29.0,,318.0,1597435200000,17,S,1597449600000,100.0, ,,,-12.76,-1.36,-14.71,True,False,False
SPY_081420C319,CALL,SPY Aug 14 2020 319 Call (Weekly),OPR,7.18,7.23,7.76,7.21,184,60,184X60,0,8.25,7.71,0.0,8.53,214,,1595964351325,1595967299849,-0.77,21.423,0.566,0.026,-0.159,0.28,0.081,412,5.59,7.205,29.0,,319.0,1597435200000,17,S,1597449600000,100.0, ,,,-8.98,-1.32,-15.49,True,False,False
SPY_081420C320,CALL,SPY Aug 14 2020 320 Call (Weekly),OPR,6.54,6.58,6.44,6.56,40,60,40X60,0,7.65,6.37,0.0,7.82,355,,1595966396202,1595967299843,-1.38,21.032,0.54,0.027,-0.158,0.283,0.078,3046,5.27,6.56,29.0,,320.0,1597435200000,17,S,1597449600000,100.0, ,,,-17.65,-1.26,-16.12,True,False,False
SPY_081420C321,CALL,SPY Aug 14 2020 321 Call (Weekly),OPR,5.91,5.95,5.85,5.93,40,60,40X60,0,7.07,5.8,0.0,7.14,316,,1595966395147,1595967299931,-1.29,20.605,0.513,0.027,-0.155,0.284,0.075,1039,5.68,5.93,29.0,,321.0,1597435200000,17,S,1597449600000,100.0, ,,,-18.07,-1.21,-16.95,True,False,False
SPY_081420C322,CALL,SPY Aug 14 2020 322 Call (Weekly),OPR,5.31,5.35,5.23,5.33,50,75,50X75,0,6.39,5.23,0.0,6.48,545,,1595966574854,1595967299931,-1.25,20.188,0.485,0.028,-0.152,0.284,0.072,844,5.23,5.33,29.0,,322.0,1597435200000,17,S,1597449600000,100.0, ,,,-19.29,-1.15,-17.75,False,False,False
SPY_081420C323,CALL,SPY Aug 14 2020 323 Call (Weekly),OPR,4.74,4.78,4.69,4.76,56,154,56X154,0,5.75,4.69,0.0,5.85,1945,,1595966204379,1595967299861,-1.16,19.779,0.456,0.028,-0.149,0.283,0.068,862,4.69,4.76,29.0,,323.0,1597435200000,17,S,1597449600000,100.0, ,,,-19.83,-1.09,-18.63,False,False,False
SPY_081420C324,CALL,SPY Aug 14 2020 324 Call (Weekly),OPR,4.2,4.23,4.15,4.22,56,60,56X60,0,5.2,4.15,0.0,5.25,201,,1595966395147,1595967299844,-1.1,19.352,0.427,0.028,-0.144,0.28,0.064,466,4.15,4.215,29.0,,324.0,1597435200000,17,S,1597449600000,100.0, ,,,-20.95,-1.04,-19.71,False,False,False
SPY_081420C325,CALL,SPY Aug 14 2020 325 Call (Weekly),OPR,3.69,3.73,3.7,3.71,57,257,57X257,0,4.62,3.6,0.0,4.68,549,,1595966386601,1595967299964,-0.98,18.956,0.396,0.029,-0.139,0.275,0.059,1569,3.7,3.71,29.0,,325.0,1597435200000,17,S,1597449600000,100.0, ,,,-20.94,-0.97,-20.73,False,False,False
SPY_081420C326,CALL,SPY Aug 14 2020 326 Call (Weekly),OPR,3.22,3.25,3.22,3.24,50,195,50X195,0,4.05,3.18,0.0,4.15,525,,1595967057527,1595967299958,-0.93,18.553,0.365,0.028,-0.133,0.268,0.055,2689,3.22,3.235,29.0,,326.0,1597435200000,17,S,1597449600000,100.0, ,,,-22.41,-0.92,-22.05,False,False,False
SPY_081720C317,CALL,SPY Aug 17 2020 317 Call (Weekly),OPR,8.85,8.9,8.77,8.88,30,26,30X26,0,9.85,8.77,0.0,10.26,418,,1595965868094,1595967299843,-1.49,21.694,0.608,0.023,-0.144,0.296,0.1,221,4.6,8.875,29.0,,317.0,1597694400000,20,S,1597708800000,100.0, ,,,-14.55,-1.39,-13.52,True,False,False
SPY_081720C318,CALL,SPY Aug 17 2020 318 Call (Weekly),OPR,8.15,8.2,8.09,8.18,50,27,50X27,0,9.22,8.09,0.0,9.52,402,,1595965868094,1595967299835,-1.43,21.283,0.586,0.024,-0.144,0.3,0.097,117,4.92,8.175,29.0,,318.0,1597694400000,20,S,1597708800000,100.0, ,,,-15.05,-1.35,-14.15,True,False,False
SPY_081720C319,CALL,SPY Aug 17 2020 319 Call (Weekly),OPR,7.48,7.52,8.73,7.5,105,28,105X28,0,8.73,7.95,0.0,8.8,16,,1595958614923,1595967299843,-0.07,20.885,0.562,0.025,-0.143,0.303,0.094,74,6.56,7.5,29.0,,319.0,1597694400000,20,S,1597708800000,100.0, ,,,-0.83,-1.3,-14.8,True,False,False
SPY_081720C320,CALL,SPY Aug 17 2020 320 Call (Weekly),OPR,6.82,6.87,7.53,6.85,145,60,145X60,0,7.53,7.53,0.0,8.1,1,,1595943000860,1595967299948,-0.57,20.479,0.538,0.025,-0.142,0.306,0.091,339,6.36,6.845,29.0,,320.0,1597694400000,20,S,1597708800000,100.0, ,,,-7.01,-1.25,-15.47,True,False,False
SPY_081720C321,CALL,SPY Aug 17 2020 321 Call (Weekly),OPR,6.19,6.24,6.08,6.22,148,60,148X60,0,6.99,6.08,0.0,7.42,24,,1595966304294,1595967299948,-1.34,20.075,0.512,0.026,-0.139,0.307,0.087,211,5.91,6.215,29.0,,321.0,1597694400000,20,S,1597708800000,100.0, ,,,-18.03,-1.2,-16.21,True,False,False
SPY_081720C322,CALL,SPY Aug 17 2020 322 Call (Weekly),OPR,5.59,5.64,5.61,5.62,132,60,132X60,0,6.54,5.61,0.0,6.76,62,,1595966125832,1595967299835,-1.15,19.687,0.486,0.026,-0.137,0.307,0.083,495,5.61,5.615,29.0,,322.0,1597694400000,20,S,1597708800000,100.0, ,,,-17.04,-1.15,-16.97,False,False,False
SPY_081720C323,CALL,SPY Aug 17 2020 323 Call (Weekly),OPR,5.02,5.06,4.96,5.04,76,60,76X60,0,6.04,4.95,0.0,6.13,91,,1595966522390,1595967299851,-1.17,19.292,0.458,0.027,-0.134,0.306,0.079,717,4.96,5.04,29.0,,323.0,1597694400000,20,S,1597708800000,100.0, ,,,-19.12,-1.09,-17.82,False,False,False
SPY_081720C324,CALL,SPY Aug 17 2020 324 Call (Weekly),OPR,4.47,4.51,4.49,4.49,123,236,123X236,0,5.23,4.49,0.0,5.53,37,,1595966034274,1595967299968,-1.04,18.887,0.43,0.027,-0.13,0.302,0.075,514,4.49,4.49,29.0,,324.0,1597694400000,20,S,1597708800000,100.0, ,,,-18.81,-1.04,-18.81,False,False,False
SPY_081720C325,CALL,SPY Aug 17 2020 325 Call (Weekly),OPR,3.96,4.0,3.89,3.98,104,312,104X312,0,4.9,3.89,0.0,4.95,111,,1595966303562,1595967299891,-1.06,18.517,0.401,0.027,-0.125,0.298,0.07,764,3.89,3.98,29.0,,325.0,1597694400000,20,S,1597708800000,100.0, ,,,-21.41,-0.97,-19.6,False,False,False
SPY_081720C326,CALL,SPY Aug 17 2020 326 Call (Weekly),OPR,3.48,3.51,3.86,3.5,50,262,50X262,0,4.35,3.76,0.0,4.41,47,,1595964189669,1595967299958,-0.55,18.127,0.372,0.027,-0.12,0.291,0.065,354,3.86,3.495,29.0,,326.0,1597694400000,20,S,1597708800000,100.0, ,,,-12.47,-0.91,-20.75,False,False,False
SPY_081920C317,CALL,SPY Aug 19 2020 317 Call (Weekly),OPR,9.25,9.3,10.03,9.28,30,26,30X26,0,10.14,10.03,0.0,10.65,60,,1595963486768,1595967299843,-0.62,22.073,0.603,0.022,-0.141,0.311,0.108,278,5.86,9.275,29.0,,317.0,1597867200000,22,S,1597881600000,100.0, ,,,-5.84,-1.38,-12.93,True,False,False
SPY_081920C318,CALL,SPY Aug 19 2020 318 Call (Weekly),OPR,8.56,8.6,8.54,8.58,102,27,102X27,0,9.7,8.54,0.0,9.91,98,,1595966507088,1595967299949,-1.37,21.677,0.581,0.023,-0.14,0.315,0.105,193,5.37,8.58,29.0,,318.0,1597867200000,22,S,1597881600000,100.0, ,,,-13.84,-1.33,-13.44,True,False,False
SPY_081920C319,CALL,SPY Aug 19 2020 319 Call (Weekly),OPR,7.88,7.93,9.0,7.9,120,28,120X28,0,9.09,9.0,0.0,9.19,31,,1595960162760,1595967299849,-0.19,21.281,0.559,0.023,-0.139,0.318,0.102,326,6.83,7.905,29.0,,319.0,1597867200000,22,S,1597881600000,100.0, ,,,-2.08,-1.29,-14.0,True,False,False
SPY_081920C320,CALL,SPY Aug 19 2020 320 Call (Weekly),OPR,7.23,7.27,8.17,7.25,89,60,89X60,0,8.17,7.4,0.0,8.49,52,,1595960969331,1595967299850,-0.32,20.881,0.536,0.024,-0.138,0.32,0.099,515,7.0,7.25,29.0,,320.0,1597867200000,22,S,1597881600000,100.0, ,,,-3.78,-1.24,-14.62,True,False,False
SPY_081920C321,CALL,SPY Aug 19 2020 321 Call (Weekly),OPR,6.6,6.63,7.55,6.62,58,50,58X50,0,7.55,7.22,0.0,7.81,4,,1595950395715,1595967299949,-0.26,20.473,0.512,0.024,-0.136,0.321,0.095,482,7.38,6.615,29.0,,321.0,1597867200000,22,S,1597881600000,100.0, ,,,-3.28,-1.19,-15.26,True,False,False
SPY_081920C322,CALL,SPY Aug 19 2020 322 Call (Weekly),OPR,5.99,6.03,5.98,6.01,87,60,87X60,0,6.84,5.98,0.0,7.15,9,,1595966058718,1595967299850,-1.17,20.084,0.487,0.025,-0.133,0.321,0.091,1059,5.98,6.01,29.0,,322.0,1597867200000,22,S,1597881600000,100.0, ,,,-16.31,-1.14,-15.89,False,False,False
SPY_081920C323,CALL,SPY Aug 19 2020 323 Call (Weekly),OPR,5.41,5.44,5.34,5.43,57,60,57X60,0,6.35,5.31,0.0,6.52,29,,1595966302854,1595967299949,-1.18,19.679,0.462,0.025,-0.13,0.32,0.087,297,5.34,5.425,29.0,,323.0,1597867200000,22,S,1597881600000,100.0, ,,,-18.04,-1.09,-16.73,False,False,False
SPY_081920C324,CALL,SPY Aug 19 2020 324 Call (Weekly),OPR,4.85,4.89,5.24,4.87,129,249,129X249,0,5.74,5.24,0.0,5.91,9,,1595963753939,1595967299968,-0.67,19.286,0.435,0.025,-0.127,0.317,0.082,41,5.24,4.87,29.0,,324.0,1597867200000,22,S,1597881600000,100.0, ,,,-11.26,-1.04,-17.53,False,False,False
SPY_081920C325,CALL,SPY Aug 19 2020 325 Call (Weekly),OPR,4.32,4.36,4.54,4.34,133,242,133X242,0,5.1,4.54,0.0,5.32,12,,1595965522905,1595967299964,-0.79,18.883,0.408,0.026,-0.123,0.313,0.078,229,4.54,4.34,29.0,,325.0,1597867200000,22,S,1597881600000,100.0, ,,,-14.74,-0.98,-18.5,False,False,False
SPY_081920C326,CALL,SPY Aug 19 2020 326 Call (Weekly),OPR,3.83,3.86,3.74,3.85,113,218,113X218,0,4.54,3.74,0.0,4.78,9,,1595966336910,1595967299964,-1.03,18.501,0.38,0.026,-0.118,0.307,0.073,258,3.74,3.845,29.0,,326.0,1597867200000,22,S,1597881600000,100.0, ,,,-21.68,-0.93,-19.48,False,False,False
SPY_082120C317,CALL,SPY Aug 21 2020 317 Call,OPR,9.67,9.7,9.59,9.68,40,25,40X25,0,10.97,9.59,0.0,11.03,640,,1595966593278,1595967299847,-1.44,22.487,0.597,0.021,-0.138,0.325,0.116,6663,5.42,9.685,29.0,,317.0,1598040000000,24,R,1598054400000,100.0, ,,,-13.04,-1.34,-12.18,True,False,False
SPY_082120C318,CALL,SPY Aug 21 2020 318 Call,OPR,8.97,9.01,8.9,8.99,40,50,40X50,0,10.28,8.84,0.0,10.29,1112,,1595966593336,1595967299859,-1.39,22.09,0.577,0.021,-0.137,0.329,0.113,5497,5.73,8.99,29.0,,318.0,1598040000000,24,R,1598054400000,100.0, ,,,-13.49,-1.3,-12.62,True,False,False
